Caller	CallerFile	Callee	CalleeFile	Repo	Root	Class	Kind	Depth	Confidence	NCandidates
a_set_up_paths_always_run_first	/data/master_github_repos/CANlab_help_examples/Second_level_analysis_template_scripts/b_copy_to_local_scripts_dir_and_modify/a_set_up_paths_always_run_first.m	LaBGAScore_firstlevel_s1_options_dsgn_struct	/data/master_github_repos/LaBGAScore/firstlevel/LaBGAScore_firstlevel_s1_options_dsgn_struct.m	LaBGAScore	/data/master_github_repos/LaBGAScore		script	1	resolved	1
a_set_up_paths_always_run_first	/data/master_github_repos/CANlab_help_examples/Second_level_analysis_template_scripts/b_copy_to_local_scripts_dir_and_modify/a_set_up_paths_always_run_first.m	LaBGAScore_prep_s0_define_directories	/data/master_github_repos/LaBGAScore/prep/LaBGAScore_prep_s0_define_directories.m	LaBGAScore	/data/master_github_repos/LaBGAScore		script	1	resolved	1
c2_SVM_contrasts_masked	/data/master_github_repos/CANlab_help_examples/Second_level_analysis_template_scripts/core_scripts_to_run_without_modifying/c2_SVM_contrasts_masked.m	barplot_columns	/data/master_github_repos/CanlabCore/CanlabCore/Visualization_functions/barplot_columns.m	CanlabCore	/data/master_github_repos/CanlabCore		function	1	resolved	1
c2_SVM_contrasts_masked	/data/master_github_repos/CANlab_help_examples/Second_level_analysis_template_scripts/core_scripts_to_run_without_modifying/c2_SVM_contrasts_masked.m	colormap_tor	/data/master_github_repos/CanlabCore/CanlabCore/Visualization_functions/colormap_tor.m	CanlabCore	/data/master_github_repos/CanlabCore		function	1	resolved	1
c2_SVM_contrasts_masked	/data/master_github_repos/CANlab_help_examples/Second_level_analysis_template_scripts/core_scripts_to_run_without_modifying/c2_SVM_contrasts_masked.m	create_figure	/data/master_github_repos/CanlabCore/CanlabCore/Visualization_functions/create_figure.m	CanlabCore	/data/master_github_repos/CanlabCore		function	1	resolved	1
c2_SVM_contrasts_masked	/data/master_github_repos/CANlab_help_examples/Second_level_analysis_template_scripts/core_scripts_to_run_without_modifying/c2_SVM_contrasts_masked.m	load_atlas	/data/master_github_repos/CanlabCore/CanlabCore/Data_extraction/load_atlas.m	CanlabCore	/data/master_github_repos/CanlabCore		function	1	resolved	1
c2_SVM_contrasts_masked	/data/master_github_repos/CANlab_help_examples/Second_level_analysis_template_scripts/core_scripts_to_run_without_modifying/c2_SVM_contrasts_masked.m	montage	/data/master_github_repos/CanlabCore/CanlabCore/@region/montage.m	CanlabCore	/data/master_github_repos/CanlabCore	region	method	1	ambiguous	2
c2_SVM_contrasts_masked	/data/master_github_repos/CANlab_help_examples/Second_level_analysis_template_scripts/core_scripts_to_run_without_modifying/c2_SVM_contrasts_masked.m	plugin_set_figure_size	/data/master_github_repos/LaBGAScore/figures/plugin_set_figure_size.m	LaBGAScore	/data/master_github_repos/LaBGAScore		function	1	resolved	1
c2_SVM_contrasts_masked	/data/master_github_repos/CANlab_help_examples/Second_level_analysis_template_scripts/core_scripts_to_run_without_modifying/c2_SVM_contrasts_masked.m	print_matrix	/data/master_github_repos/CanlabCore/CanlabCore/Misc_utilities/print_matrix.m	CanlabCore	/data/master_github_repos/CanlabCore		function	1	resolved	1
c2_SVM_contrasts_masked	/data/master_github_repos/CANlab_help_examples/Second_level_analysis_template_scripts/core_scripts_to_run_without_modifying/c2_SVM_contrasts_masked.m	region	/data/master_github_repos/CanlabCore/CanlabCore/@region/region.m	CanlabCore	/data/master_github_repos/CanlabCore	region	method	1	resolved	1
c2_SVM_contrasts_masked	/data/master_github_repos/CANlab_help_examples/Second_level_analysis_template_scripts/core_scripts_to_run_without_modifying/c2_SVM_contrasts_masked.m	roc_plot	/data/master_github_repos/CanlabCore/CanlabCore/Statistics_tools/roc_plot.m	CanlabCore	/data/master_github_repos/CanlabCore		function	1	resolved	1
c2_SVM_contrasts_masked	/data/master_github_repos/CANlab_help_examples/Second_level_analysis_template_scripts/core_scripts_to_run_without_modifying/c2_SVM_contrasts_masked.m	threshold	/data/master_github_repos/CanlabCore/CanlabCore/@atlas/threshold.m	CanlabCore	/data/master_github_repos/CanlabCore	atlas	method	1	ambiguous_within_repo	4
c2_SVM_contrasts_masked	/data/master_github_repos/CANlab_help_examples/Second_level_analysis_template_scripts/core_scripts_to_run_without_modifying/c2_SVM_contrasts_masked.m	threshold	/data/master_github_repos/CanlabCore/CanlabCore/@glm_map/threshold.m	CanlabCore	/data/master_github_repos/CanlabCore	glm_map	method	1	ambiguous_within_repo	4
c2_SVM_contrasts_masked	/data/master_github_repos/CANlab_help_examples/Second_level_analysis_template_scripts/core_scripts_to_run_without_modifying/c2_SVM_contrasts_masked.m	threshold	/data/master_github_repos/CanlabCore/CanlabCore/@image_vector/threshold.m	CanlabCore	/data/master_github_repos/CanlabCore	image_vector	method	1	ambiguous_within_repo	4
c2_SVM_contrasts_masked	/data/master_github_repos/CANlab_help_examples/Second_level_analysis_template_scripts/core_scripts_to_run_without_modifying/c2_SVM_contrasts_masked.m	threshold	/data/master_github_repos/CanlabCore/CanlabCore/@statistic_image/threshold.m	CanlabCore	/data/master_github_repos/CanlabCore	statistic_image	method	1	ambiguous_within_repo	4
c2_SVM_contrasts_masked	/data/master_github_repos/CANlab_help_examples/Second_level_analysis_template_scripts/core_scripts_to_run_without_modifying/c2_SVM_contrasts_masked.m	thresholded_fmri_data_from_statistic_image	/data/master_github_repos/LaBGAScore/secondlevel/functions/thresholded_fmri_data_from_statistic_image.m	LaBGAScore	/data/master_github_repos/LaBGAScore		function	1	resolved	1
c2_SVM_contrasts_masked	/data/master_github_repos/CANlab_help_examples/Second_level_analysis_template_scripts/core_scripts_to_run_without_modifying/c2_SVM_contrasts_masked.m	title_montage	/data/master_github_repos/CanlabCore/CanlabCore/@fmridisplay/title_montage.m	CanlabCore	/data/master_github_repos/CanlabCore	fmridisplay	method	1	resolved	1
c2a_second_level_regression	/data/master_github_repos/CANlab_help_examples/Second_level_analysis_template_scripts/core_scripts_to_run_without_modifying/c2a_second_level_regression.m	LaBGAScore_region_table	/data/master_github_repos/LaBGAScore/secondlevel/functions/LaBGAScore_region_table.m	LaBGAScore	/data/master_github_repos/LaBGAScore		function	1	resolved	1
c2a_second_level_regression	/data/master_github_repos/CANlab_help_examples/Second_level_analysis_template_scripts/core_scripts_to_run_without_modifying/c2a_second_level_regression.m	LaBGAScore_region_table_safe	/data/master_github_repos/LaBGAScore/secondlevel/functions/LaBGAScore_region_table_safe.m	LaBGAScore	/data/master_github_repos/LaBGAScore		function	1	resolved	1
c2a_second_level_regression	/data/master_github_repos/CANlab_help_examples/Second_level_analysis_template_scripts/core_scripts_to_run_without_modifying/c2a_second_level_regression.m	LaBGAScore_smart_parallel_pool_setup	/data/master_github_repos/LaBGAScore/clean/LaBGAScore_smart_parallel_pool_setup.m	LaBGAScore	/data/master_github_repos/LaBGAScore		script	1	resolved	1
